id,palabra,valencia_m,valencia_sd,activacion_m,activacion_sd,dominancia_m,dominancia_sd,word,categoria_palabra
344,"entierro",1.36,1.04,6.32,2.59,2.40,1.82,"burial",1
345,"entrometido",2.72,1.69,6.07,1.65,4.09,1.96,"busybody",1
346,"entusiasmo",7.86,1.35,7.49,1.70,5.87,1.97,"excitement",1
347,"erótico",7.44,1.42,7.47,1.64,5.84,2.26,"erotic",1
348,"error",2.62,1.88,6.40,2.05,3.71,2.07,"mistake",1
349,"erudito",5.83,1.87,4.80,1.73,5.17,2.08,"scholar",1
350,"escándalo",3.47,1.87,6.32,1.79,3.63,1.86,"scandal",1
351,"escéptico",4.22,1.85,4.97,1.72,4.63,1.96,"skeptical",1
352,"esclavo",1.62,1.35,5.97,2.39,3.39,2.44,"slave",1
353,"esconder",3.63,1.73,5.28,1.82,4.43,2.08,"hide",1
354,"escopeta",2.32,1.73,6.33,2.07,4.16,2.56,"shotgun",1
355,"escorbuto",2.22,1.73,5.21,2.23,3.40,2.06,"scurvy",1
356,"escoria",1.87,1.54,5.53,2.17,4.22,2.30,"scum",1
357,"escorpión",2.86,1.96,7.13,2.02,3.16,2.01,"scorpion",1
358,"escritor",6.47,1.64,4.74,1.84,5.10,1.84,"writer",1
359,"esfera",5.27,1.62,4.24,1.71,4.84,1.80,"sphere",1
360,"espacio",6.30,1.74,5.14,2.09,4.66,2.14,"space",1
361,"espantoso",2.18,1.98,6.54,1.87,3.93,2.10,"dreadful",1
362,"esperanza",8.11,1.11,6.59,2.27,5.79,2.39,"hope",1
363,"esperanzado",7.41,1.33,6.24,2.21,5.69,1.95,"hopeful",1
364,"espina",2.64,1.74,5.80,2.00,4.28,2.04,"thorn",1
365,"espíritu",5.51,2.28,4.86,2.30,4.27,2.24,"spirit",1
366,"esposa",5.61,2.21,4.88,2.15,5.41,2.30,"wife",1
367,"esposo",6.03,2.24,5.50,1.97,5.41,2.00,"spouse",1
368,"espuma",6.47,1.87,4.84,2.29,5.66,1.89,"foam",1
369,"esquina",4.47,1.09,4.57,1.55,4.76,1.60,"corner",1
370,"estancado",2.63,1.60,4.57,2.47,3.84,2.22,"stagnant",1
371,"estatua",5.32,1.98,3.94,2.15,4.92,2.40,"statue",1
372,"estiércol",2.02,1.37,4.64,2.27,4.40,2.16,"manure",1
373,"estómago",4.39,1.58,4.73,1.59,4.63,1.90,"stomach",1
374,"estrella",7.52,1.44,4.60,2.58,4.48,2.59,"star",1
375,"estrés",1.83,1.06,7.32,2.00,3.13,2.17,"stress",1
376,"estufa",6.37,1.57,3.74,1.92,5.98,1.99,"stove",1
377,"estúpido",2.60,1.54,5.58,1.96,3.86,2.04,"stupid",1
378,"eufórico",6.80,1.98,7.53,1.65,4.62,2.44,"elated",1
379,"excelencia",6.01,2.06,5.39,1.65,5.08,1.86,"excellence",1
380,"excitado",6.50,2.15,7.89,1.55,4.60,2.31,"aroused",1
381,"excusa",3.14,1.69,6.11,1.71,5.06,2.16,"excuse",1
382,"éxito",7.69,1.79,6.83,2.16,5.79,2.33,"success",1
383,"exquisito",7.44,1.70,5.74,2.00,5.47,1.91,"luscious",1
384,"éxtasis",4.76,2.41,6.69,2.04,4.14,2.43,"ecstasy",1
385,"exterior",6.41,1.84,5.62,2.07,4.83,1.99,"outdoors",1
386,"extraordinario",7.37,1.69,6.12,1.85,5.09,2.56,"outstanding",1
387,"extraterrestre",4.66,1.88,5.87,1.75,3.52,2.23,"alien",1
388,"fácil",6.92,1.91,4.48,2.16,6.80,2.18,"easy",1
389,"falso",1.73,1.24,6.17,2.31,4.16,2.11,"false",1
390,"fama",5.46,2.26,6.18,1.91,4.34,2.44,"fame",1
391,"famélico",2.12,1.69,5.82,2.01,3.68,2.04,"starving",1
392,"familia",8.18,1.09,5.31,2.49,5.89,2.47,"family",1
393,"famoso",5.18,1.78,5.07,1.92,4.54,2.18,"famous",1
394,"fantasía",7.39,1.50,6.96,1.65,5.46,2.39,"fantasy",1
395,"faro",5.48,1.38,4.20,1.99,4.93,2.07,"lighthouse",1
396,"farol",4.93,1.87,4.47,1.95,5.17,2.02,"headlight",1
397,"fase",4.82,1.12,4.80,1.56,4.66,1.64,"phase",1
398,"fastidiar",2.26,1.51,5.90,2.31,4.77,2.41,"annoy",1
399,"fatigado",2.61,1.42,4.08,2.57,4.01,1.99,"fatigued",1
400,"favor",6.58,1.84,5.70,1.76,5.33,2.11,"favor",1
401,"feliz",8.37,1.48,6.97,2.74,6.44,2.39,"happy",1
402,"feo",3.08,1.81,4.16,2.19,3.88,2.11,"ugly",1
403,"festivo",7.97,1.20,6.47,2.46,5.36,2.52,"festive",1
404,"fétido",2.14,1.37,5.31,2.06,3.94,2.12,"foul",1
405,"fiebre",1.86,1.27,4.03,2.62,2.98,2.06,"fever",1
406,"fiesta",8.26,1.08,7.66,1.63,5.96,2.29,"party",1
407,"firmamento",7.79,1.53,4.80,2.74,4.14,2.80,"sky",1
408,"flemón",1.96,1.37,5.36,2.26,3.39,2.20,"toothache",1
409,"flexible",5.91,1.73,4.84,2.21,5.29,2.12,"limber",1
410,"flor",7.34,1.67,4.46,2.36,5.69,2.09,"flower",1
411,"fofo",3.01,1.60,4.02,1.97,4.49,2.06,"flabby",1
412,"folleto",4.79,1.22,4.33,1.66,5.38,1.97,"pamphlet",1
413,"follón",2.62,1.66,6.77,1.85,4.04,2.28,"stink",1
414,"fortuito",5.89,1.60,5.57,2.09,3.59,2.13,"haphazard",1
415,"fracaso",1.64,1.29,5.51,2.76,3.52,2.46,"failure",1
416,"fragancia",7.76,1.38,5.22,2.57,5.97,2.19,"fragrance",1
417,"fraude",1.86,1.23,5.82,2.08,3.29,2.16,"fraud",1
418,"frío",3.21,2.04,4.98,2.30,4.33,2.74,"cold",1
419,"frustrado",1.88,1.07,5.10,2.30,3.19,1.96,"frustrated",1
420,"fuego",5.00,2.42,6.51,2.20,3.97,2.34,"fire",1
421,"fuerte",6.30,1.67,5.88,2.07,5.32,2.53,"strong",1
422,"funeral",1.48,1.19,5.06,2.85,2.50,2.09,"funeral",1
423,"furcia",2.66,1.84,4.86,2.17,4.23,2.40,"whore",1
424,"fusil",2.08,1.27,6.41,1.93,3.26,2.16,"gun",1
425,"ganancias",7.58,1.67,6.34,2.16,5.30,2.25,"profit",1
426,"ganar",7.84,1.55,7.68,1.39,6.12,2.15,"win",1
427,"gangrena",1.68,1.53,6.62,2.21,2.82,2.21,"gangrene",1
428,"gatito",6.96,2.14,4.86,2.36,5.73,2.32,"kitten",1
429,"gato",6.13,2.14,4.94,2.27,5.14,2.33,"cat",1
430,"gélido",3.28,1.85,4.97,2.12,4.08,2.00,"frigid",1
431,"género",4.87,1.58,4.90,1.65,4.84,1.73,"gender",1
432,"generoso",7.57,1.42,5.53,2.06,5.67,2.25,"lavish",1
433,"genial",7.98,1.02,6.62,2.20,6.37,2.14,"terrific",1
434,"gente",6.53,1.64,6.24,1.88,4.57,1.90,"people",1
435,"gérmenes",1.78,1.14,6.26,1.83,3.42,2.24,"germs",1
436,"gimnasta",5.91,1.83,5.42,2.26,5.26,2.05,"gymnast",1
437,"glaciar",5.76,1.96,5.03,1.88,4.10,2.11,"glacier",1
438,"glamour",5.94,2.15,5.51,1.95,5.47,1.67,"glamour",1
439,"gloria",6.90,1.65,5.80,1.98,5.51,2.00,"glory",1
440,"goce",8.09,1.42,6.62,2.56,5.80,2.18,"enjoyment",1
441,"golfista",4.43,2.05,4.33,2.19,5.18,2.21,"golfer",1
442,"golpe",2.33,1.75,6.03,2.17,3.74,2.06,"hit",1
443,"gordo",3.56,1.71,4.89,2.11,4.84,2.05,"fat",1
444,"graduado",7.09,1.76,6.16,2.04,6.59,1.88,"graduate",1
445,"granada",3.42,2.67,6.61,2.03,3.87,2.53,"grenade",1
446,"granja",5.53,1.81,4.90,2.16,5.22,1.83,"farm",1
447,"grave",1.89,1.47,6.83,2.24,3.24,2.27,"severe",1
448,"grito",3.39,2.55,7.42,1.79,4.43,2.37,"scream",1
449,"grosero",2.22,1.37,5.99,2.14,4.30,2.26,"crude",1
450,"guapa",7.22,1.40,5.40,2.30,5.18,2.01,"pretty",1
451,"guapo",7.79,1.32,6.64,1.79,5.07,2.33,"handsome",1
452,"guardería",6.59,1.98,6.07,2.20,4.98,2.12,"nursery",1
453,"guerra",1.23,0.72,7.28,2.23,2.04,1.93,"war",1
454,"guillotina",1.87,1.36,6.13,2.51,3.17,2.56,"guillotine",1
455,"guiño",6.93,1.51,6.09,1.66,5.28,1.79,"wink",1
456,"gusano",2.99,1.73,5.07,2.09,4.60,2.32,"maggot",1
457,"habitante",5.91,1.60,4.61,1.94,5.19,1.84,"inhabitant",1
458,"hábito",4.84,1.75,4.33,2.11,5.87,2.37,"habit",1
459,"halcón",5.29,1.48,5.13,1.78,4.26,2.01,"hawk",1
460,"hambriento",3.12,2.03,6.29,2.01,3.56,2.08,"hungry",1
461,"hamburguesa",5.78,2.22,4.86,1.91,5.38,2.39,"hamburger",1
462,"harto",2.73,1.80,5.78,2.28,4.27,2.11,"blase",1
463,"hastío",2.46,1.61,4.00,2.22,3.61,2.02,"ennui",1
464,"hedor",1.91,1.56,5.62,2.39,3.81,2.35,"stench",1
465,"heno",5.00,1.61,3.97,1.82,5.24,2.02,"hay",1
466,"heridas",2.07,1.30,6.43,1.43,3.99,1.97,"wounds",1
467,"herido",1.98,1.34,6.73,1.86,3.31,1.77,"hurt",1
468,"hermano",7.81,1.47,5.08,2.52,5.86,2.23,"brother",1
469,"hermoso",7.61,1.56,5.44,2.67,5.13,2.38,"beautiful",1
470,"heroína",3.61,2.89,6.09,2.30,4.54,2.79,"heroin",1
471,"herramienta",4.58,1.47,4.51,1.92,5.43,1.96,"tool",1
472,"hervir",4.81,0.87,4.77,1.80,5.21,1.79,"scalding",1
473,"hierro",4.44,1.25,4.44,1.64,4.93,1.86,"iron",1
474,"historia",5.37,1.93,4.32,2.08,4.93,2.16,"history",1
475,"hogar",7.63,1.60,5.01,2.49,6.29,2.18,"home",1
476,"hombre",6.91,1.69,6.06,2.22,5.10,2.31,"man",1
477,"homicida",1.68,1.14,6.69,2.42,3.10,2.57,"murderer",1
478,"honesto",7.52,1.48,5.02,2.07,6.09,2.08,"honest",1
479,"hongo",2.91,2.03,4.90,2.33,4.00,1.97,"fungus",1
480,"honor",7.36,1.60,5.53,2.37,6.47,2.08,"honor",1
481,"hornear",5.47,1.53,4.71,1.78,5.54,1.89,"bake",1
482,"horquilla",5.11,1.54,4.21,1.76,5.71,1.96,"hairpin",1
483,"horror",1.68,1.24,6.89,2.26,2.81,2.03,"horror",1
484,"hospital",2.07,1.43,5.49,2.32,3.46,2.13,"hospital",1
485,"hostil",2.20,1.84,5.97,2.17,3.96,2.01,"hostile",1
486,"hotel",6.39,1.56,5.49,2.10,5.54,1.79,"hotel",1
487,"huevo",5.01,1.68,3.94,1.93,5.31,2.31,"egg",1
488,"humano",6.67,2.00,5.49,2.05,5.17,2.27,"humane",1
489,"humilde",6.59,2.17,4.16,2.23,5.64,2.32,"humble",1
490,"humillar",1.68,1.41,6.42,2.51,3.68,2.39,"humiliate",1
491,"humor",7.70,1.57,6.90,1.98,5.47,2.05,"humor",1
492,"huracán",2.28,1.54,7.16,1.95,2.63,2.06,"hurricane",1
493,"idea",7.36,1.50,6.62,2.13,6.46,2.05,"idea",1
494,"identidad",6.20,2.01,5.04,2.07,6.01,1.99,"identity",1
495,"idiota",2.56,1.52,5.11,2.34,4.73,2.18,"idiot",1
496,"ídolo",6.29,2.16,5.80,1.87,4.86,2.01,"idol",1
497,"iglesia",3.77,2.30,4.31,2.24,4.78,2.17,"church",1
498,"ignorancia",2.00,1.21,5.18,2.44,4.51,2.48,"ignorance",1
499,"imaginar",7.58,1.64,6.33,2.19,6.29,2.58,"imagine",1
500,"imparcial",4.68,2.05,4.83,2.07,4.84,1.95,"detached",1
501,"impotente",1.98,1.33,5.58,2.44,2.82,2.05,"impotent",1
502,"impresionado",6.09,1.63,6.69,1.74,4.20,2.06,"impressed",1
503,"incentivo",7.39,1.57,6.71,1.76,5.66,2.03,"incentive",1
504,"incomodidad",2.16,1.45,6.57,1.77,4.33,2.12,"discomfort",1
505,"incordio",2.29,1.40,5.83,2.24,4.26,2.03,"nuisance",1
506,"indefenso",1.89,1.35,5.71,2.33,2.83,2.10,"helpless",1
507,"indiferente",3.98,1.93,4.72,1.94,4.90,1.94,"indifferent",1
508,"industria",4.21,1.72,4.83,2.04,4.47,1.90,"industry",1
509,"infección",1.69,0.93,6.47,2.01,2.94,2.01,"infection",1
510,"infeliz",1.43,0.98,4.73,2.72,3.27,2.19,"unhappy",1
511,"inferior",2.50,1.70,4.86,2.14,4.01,2.40,"inferior",1
512,"infiel",1.70,1.05,6.81,1.95,4.13,2.50,"unfaithful",1
513,"infierno",2.47,2.17,5.40,2.63,3.46,2.27,"hell",1
514,"ingenio",7.34,1.58,6.28,1.90,5.70,2.21,"wit",1
515,"inmaduro",3.18,1.66,5.10,1.72,4.67,1.85,"immature",1
516,"inmoral",2.86,1.73,5.91,1.51,4.76,1.80,"immoral",1
517,"inocente",6.31,2.06,4.39,2.13,5.14,2.29,"innocent",1
518,"inquieto",4.47,1.73,6.83,1.64,4.23,1.85,"troubled",1
519,"insecto",3.24,1.72,5.57,2.10,4.13,2.34,"insect",1
520,"inseguro",2.18,1.65,6.29,2.10,2.72,2.08,"insecure",1
521,"insolente",2.44,1.56,5.82,2.09,4.17,2.02,"insolent",1
522,"inspirado",7.04,1.67,5.78,2.26,6.03,2.17,"inspired",1
523,"inspirar",7.17,1.49,5.14,2.52,5.46,2.30,"inspire",1
524,"insulto",2.33,1.60,6.30,1.84,4.17,1.95,"insult",1
525,"intelecto",6.56,1.50,5.16,2.04,6.47,1.70,"intellect",1
526,"interés",6.57,1.94,5.89,1.97,5.96,1.94,"interest",1
527,"íntimo",7.46,1.35,5.13,2.74,6.38,2.09,"intimate",1
528,"intruso",2.36,1.38,6.64,2.12,3.33,2.11,"intruder",1
529,"inundación",1.99,1.42,6.30,2.00,2.52,1.93,"flood",1
530,"inútil",2.09,1.45,5.19,2.24,4.00,2.25,"useless",1
531,"invasor",2.52,2.02,6.96,1.56,3.57,2.33,"invader",1
532,"invertir",5.27,1.57,5.63,2.12,5.09,2.31,"invest",1
533,"invitación",7.86,1.09,6.79,1.80,5.42,1.96,"treat",1
534,"jaqueca",1.58,1.37,4.38,2.65,2.62,1.88,"headache",1
535,"jardín",7.99,1.11,4.47,2.63,5.96,2.38,"garden",1
536,"jarra",4.81,1.27,4.17,1.70,5.83,1.97,"jug",1
537,"joven",7.71,1.33,6.60,1.98,4.93,2.56,"young",1
538,"jovial",7.23,1.15,5.59,2.14,5.70,2.14,"jolly",1
539,"joya",6.51,1.69,5.32,2.06,5.51,1.83,"jewel",1
540,"júbilo",7.61,1.33,6.92,1.86,5.68,1.88,"joy",1
541,"jubiloso",7.44,1.33,6.62,1.60,5.88,2.20,"joyful",1
542,"juego",6.94,1.67,6.72,1.25,5.62,2.08,"game",1
543,"juguete",6.72,1.82,5.06,2.38,6.13,2.15,"toy",1
544,"justicia",7.00,1.88,5.78,2.53,4.98,2.66,"justice",1
545,"juventud",7.82,1.48,6.60,2.17,4.49,2.52,"youth",1
546,"ketchup",4.76,2.15,4.39,2.00,5.30,2.30,"ketchup",1
547,"ladrón",1.93,1.53,6.98,2.13,3.41,2.35,"thief",1
548,"lago",7.19,1.28,4.33,2.37,5.02,2.16,"lake",1
549,"lámpara",5.42,1.37,4.24,1.82,6.01,1.91,"lamp",1
550,"lápiz",4.98,1.16,4.63,1.56,6.00,1.97,"pencil",1
551,"lástima",1.79,1.07,5.62,1.99,3.92,2.05,"pity",1
552,"lavabo",4.72,1.49,4.30,1.73,5.39,1.58,"bathroom",1
553,"leal",7.73,1.26,4.88,2.37,5.82,2.18,"loyal",1
554,"leche",5.83,2.27,4.07,2.16,5.92,2.18,"milk",1
555,"lento",3.71,1.89,4.27,2.36,4.81,2.05,"slow",1
556,"león",4.98,1.90,7.09,1.42,3.73,2.43,"lion",1
557,"lepra",1.42,1.02,6.91,1.91,2.88,2.12,"leprosy",1
558,"lesbiana",5.37,1.80,4.81,1.69,4.68,2.13,"lesbian",1
559,"lesión",1.92,1.21,5.69,2.20,3.54,2.08,"injury",1
560,"leyenda",6.70,1.70,5.66,2.05,4.57,2.25,"legend",1
561,"liberación",7.97,1.52,6.63,2.43,5.77,2.54,"liberty",1
562,"libertad",8.54,0.80,6.40,2.46,6.26,2.52,"freedom",1
563,"libre",8.28,1.23,6.38,2.91,7.01,2.03,"free",1
564,"libro",6.42,1.75,5.30,2.06,5.84,1.96,"book",1
565,"licenciado",7.56,1.61,6.31,2.13,6.20,2.30,"grass",1
566,"líder",5.47,2.26,6.16,1.62,5.33,2.30,"leader",1
567,"liga",5.38,1.76,5.06,2.31,4.78,1.85,"garter",1
568,"linterna",5.11,1.53,4.22,1.93,5.56,2.00,"lantern",1
569,"liso",5.40,1.35,4.51,1.76,5.20,1.73,"smooth",1
570,"litro",5.07,1.32,4.14,1.88,5.26,1.89,"quart",1
571,"llano",5.18,1.73,3.84,1.83,4.78,2.16,"plain",1
572,"llave",5.57,1.64,4.28,1.84,5.89,1.97,"key",1
573,"lloriqueo",2.22,1.34,5.96,1.93,4.07,1.91,"blubber",1
574,"lluvia",4.52,2.32,4.43,2.29,3.11,2.34,"rain",1
575,"loco",3.41,1.90,6.67,1.77,3.60,2.05,"mad",1
576,"logro",8.01,1.20,6.99,1.83,6.58,1.87,"achievement",1
577,"lotería",6.98,2.09,6.22,2.36,3.63,2.65,"lottery",1
578,"lucha",2.40,1.74,6.67,2.11,4.24,2.14,"fight",1
579,"lujo",6.51,2.13,5.57,1.91,4.66,2.31,"luxury",1
580,"lujuria",5.43,2.52,6.94,1.86,4.40,2.44,"lust",1
581,"madre",8.19,1.35,5.19,2.85,5.74,2.28,"mother",1
582,"maestro",5.50,1.50,4.98,1.55,4.82,1.74,"teacher",1
583,"magdalena",6.27,1.66,4.26,2.12,5.64,2.14,"muffin",1
584,"mágico",7.17,1.61,6.13,2.34,4.30,2.51,"magical",1
585,"magistral",6.34,2.01,5.67,2.24,5.72,2.24,"masterful",1
586,"malaria",1.81,1.65,6.40,1.96,2.83,2.06,"malaria",1
587,"maleducado",2.21,1.26,6.06,1.76,4.03,1.90,"rude",1
588,"maletero",4.21,1.76,4.19,2.04,4.70,2.19,"trunk",1
589,"malicia",2.08,1.46,6.02,2.32,3.70,2.25,"malice",1
590,"maltrato",1.39,1.16,7.39,2.13,2.64,1.97,"abuse",1
591,"malvado",1.80,1.11,6.46,1.93,4.07,2.07,"wicked",1
592,"manera",5.00,1.45,4.50,1.81,4.99,1.63,"manner",1
593,"manguera",5.26,1.36,4.62,1.68,5.42,1.76,"hydrant",1
594,"maníaco",1.88,1.23,6.84,1.91,3.00,2.05,"maniac",1
595,"maniquí",4.38,1.79,3.91,1.94,4.99,2.00,"dummy",1
596,"mano",6.04,1.36,5.10,2.28,6.09,2.04,"hand",1
597,"manosear",3.99,2.16,5.64,2.08,5.11,2.25,"tamper",1
598,"manso",5.90,1.94,3.51,2.09,5.21,2.26,"meek",1
599,"mantequilla",5.20,1.71,4.03,1.81,5.40,2.12,"butter",1
600,"máquina",4.44,1.54,4.83,1.67,5.42,1.74,"machine",1
601,"maquinilla",4.22,1.72,4.59,1.62,5.30,1.66,"razor",1
602,"maravilla",7.96,1.27,6.13,2.62,5.23,2.11,"wonder",1
603,"mareado",2.01,1.30,5.33,2.28,2.60,1.90,"seasick",1
604,"mariposa",6.74,1.76,4.60,2.16,5.31,2.32,"butterfly",1
605,"mariquita",5.80,1.93,4.60,2.05,5.17,2.18,"sissy",1
606,"martillo",4.38,1.49,4.92,1.83,5.48,1.90,"hammer",1
607,"masacre",1.32,1.21,7.01,2.65,1.92,1.94,"massacre",1
608,"mascota",7.33,1.83,5.58,2.44,5.84,2.20,"pet",1
609,"masturbarse",5.79,2.13,6.41,2.07,6.49,2.08,"masturbate",1
610,"matanza",1.66,1.62,7.70,1.70,2.39,2.03,"slaughter",1
611,"material",5.01,1.74,4.19,2.02,5.40,1.99,"material",1
612,"medicina",5.38,2.43,5.56,2.12,4.56,2.47,"medicine",1
613,"mejorar",7.46,1.22,6.41,2.08,6.69,1.82,"improve",1
614,"melodía",7.71,1.22,5.31,2.63,6.39,1.99,"melody",1
615,"memoria",6.41,1.82,5.14,1.94,5.26,2.20,"memory",1
616,"mendigo",2.92,1.59,5.60,1.84,3.69,1.95,"beggar",1
617,"menosprecio",1.72,1.54,5.80,2.43,3.50,2.33,"contempt",1
618,"mente",6.41,1.75,5.81,1.77,5.93,2.21,"mind",1
619,"mentira",1.88,1.57,6.51,2.23,4.32,2.61,"lie",1
620,"mentón",4.67,1.35,4.38,1.57,4.47,1.58,"chin",1
621,"mercado",5.41,1.75,4.98,2.13,5.07,1.92,"market",1
622,"mermelada",5.93,2.07,4.47,1.89,5.71,2.09,"jelly",1
623,"mes",5.03,1.14,4.61,1.80,4.60,1.91,"month",1
624,"mesa",4.80,1.26,4.21,1.71,5.13,1.68,"table",1
625,"metal",4.98,1.40,4.42,1.81,4.97,1.85,"metal",1
626,"método",5.07,1.54,4.68,1.80,4.76,1.68,"method",1
627,"miedoso",2.57,1.48,6.09,2.01,3.67,2.17,"afraid",1
628,"miel",5.46,2.19,4.06,2.16,5.66,2.20,"honey",1
629,"milagro",6.84,1.90,5.86,2.23,3.46,2.48,"miracle",1
630,"millonario",6.57,2.02,6.00,2.34,4.89,2.62,"millionaire",1
631,"miseria",1.47,1.22,5.57,2.70,3.10,2.19,"misery",1
632,"místico",5.64,1.86,4.98,1.90,4.87,1.90,"mystic",1
633,"modesto",6.31,1.85,4.24,1.94,5.86,1.84,"modest",1
634,"moho",2.61,1.84,4.87,2.29,4.33,2.27,"mildew",1
635,"molde",4.76,1.46,4.02,1.82,5.46,2.07,"mold",1
636,"molestar",2.33,1.32,6.37,1.57,4.02,2.15,"disturb",1
637,"molestia",2.17,1.31,6.00,1.73,3.82,1.80,"ache",1
638,"molino",5.36,1.42,4.22,1.85,4.61,1.95,"windmill",1
639,"momento",6.00,1.76,5.31,2.03,5.41,2.17,"moment",1
640,"moneda",6.01,1.83,5.72,1.81,5.64,1.98,"coin",1
641,"monja",3.79,1.81,3.64,1.86,4.79,2.00,"nun",1
642,"mono",5.29,2.15,5.10,1.95,4.49,1.76,"cute",1
643,"montaña",6.49,1.66,4.99,2.27,4.84,1.99,"mountain",1
644,"moral",6.12,1.80,5.31,1.80,6.09,1.78,"moral",1
645,"morboso",4.29,2.46,6.36,1.91,4.69,2.00,"morbid",1
646,"morgue",2.71,1.95,5.33,2.20,3.21,1.92,"morgue",1
647,"mosquito",2.54,1.54,5.84,2.14,4.28,2.52,"mosquito",1
648,"motor",4.83,1.45,4.91,2.04,4.63,1.84,"engine",1
649,"movilidad",7.16,1.75,6.23,2.37,6.14,2.10,"mobility",1
650,"mucosidad",2.58,1.51,4.69,1.86,4.08,1.84,"mucus",1
651,"mueca",5.20,1.66,5.11,1.47,5.29,1.76,"grin",1
652,"muerte",1.23,0.64,6.46,2.76,1.93,1.89,"death",1
653,"muerto",1.17,0.57,5.99,2.89,1.98,1.90,"dead",1
654,"mugre",1.93,1.45,5.21,2.41,5.04,2.37,"grime",1
655,"mujer",6.40,1.89,4.89,2.12,5.51,2.02,"woman",1
656,"muleta",2.87,1.74,4.50,1.95,4.24,2.07,"crutch",1
657,"multa",1.98,1.51,6.67,2.12,3.62,2.43,"penalty",1
658,"mundo",6.57,1.96,6.12,2.10,3.90,2.28,"world",1
659,"muñeca",6.24,1.78,4.48,1.93,5.79,2.18,"doll",1
660,"musculoso",5.04,1.94,4.89,1.81,5.22,2.13,"muscular",1
661,"museo",6.26,1.80,4.52,2.10,5.44,1.74,"museum",1
662,"música",8.16,1.24,6.62,2.56,6.61,2.31,"music",1
663,"mutación",3.27,1.94,5.24,2.32,3.00,2.02,"mutation",1
664,"nadador",5.92,1.57,5.40,1.88,5.04,1.79,"swimmer",1
665,"narcótico",2.92,2.22,5.71,2.34,4.32,2.59,"narcotic",1
666,"natural",7.17,1.71,4.26,2.52,5.19,2.35,"natural",1
667,"naturaleza",8.03,1.19,5.38,2.71,4.58,2.63,"nature",1
668,"navidad",6.69,2.23,6.10,2.29,5.09,2.43,"christmas",1
669,"néctar",6.10,1.81,4.60,1.86,5.28,1.90,"nectar",1
670,"negligencia",1.88,1.14,6.06,2.25,3.17,2.33,"neglect",1
671,"negro",4.87,2.48,4.47,2.23,4.81,2.30,"black",1
672,"nene",7.36,1.82,5.40,2.32,5.62,2.16,"infant",1
673,"nervioso",3.26,1.86,7.36,1.70,3.02,2.13,"nervous",1
674,"neurótico",2.57,1.48,6.51,1.84,3.94,2.22,"neurotic",1
675,"nevera",5.44,1.44,4.84,1.58,5.50,1.77,"icebox",1
676,"nieve",7.00,1.68,5.34,2.32,4.40,2.28,"snow",1
677,"niño",7.34,1.79,6.40,2.15,5.38,2.13,"child",1
678,"nombre",5.72,1.46,4.58,1.75,5.41,2.04,"name",1
679,"noticias",5.16,1.79,5.77,1.93,3.69,2.03,"news",1
680,"novia",6.63,2.04,5.79,2.25,5.04,2.08,"bride",1
681,"novio",7.49,2.14,6.70,2.41,5.13,2.17,"sweetheart",1
682,"nubes",6.37,2.26,4.21,2.21,3.51,2.51,"clouds",1
683,"nublado",3.27,2.02,3.61,2.09,3.00,2.03,"overcast",1
684,"nudo",3.96,1.69,4.76,1.96,5.19,1.82,"knot",1
685,"nutrir",6.30,1.70,5.12,1.85,5.91,1.92,"nourish",1
686,"obedecer",3.84,1.85,5.28,1.79,4.89,2.33,"obey",1
687,"obesidad",2.28,1.51,5.22,2.48,3.73,2.15,"obesity",1
688,"obsceno",2.51,1.52,5.79,2.00,4.12,1.91,"obscene",1
