id,palabra,valencia_m,valencia_sd,activacion_m,activacion_sd,dominancia_m,dominancia_sd,word,categoria_palabra
689,"obsequio",7.80,1.28,6.29,2.01,5.37,2.38,"gift",1
690,"obsesión",2.78,1.58,6.09,2.14,3.09,2.15,"obsession",1
691,"ocaso",6.39,2.63,4.54,2.59,4.19,2.60,"sunset",1
692,"océano",7.54,1.79,5.36,2.89,4.38,2.79,"ocean",1
693,"odiar",1.86,1.46,6.48,2.17,4.23,2.39,"hate",1
694,"odio",1.74,1.17,7.01,2.03,3.67,2.44,"hatred",1
695,"ofender",2.10,1.32,5.96,1.96,4.57,2.07,"offend",1
696,"oficina",4.09,1.71,4.64,2.05,5.08,2.19,"office",1
697,"olla",4.66,1.49,4.16,2.10,5.38,1.97,"kettle",1
698,"opción",6.08,1.96,5.70,2.00,5.94,2.01,"option",1
699,"opinión",6.34,1.72,5.69,1.94,5.71,2.11,"opinion",1
700,"oportunidad",7.91,1.30,7.07,2.08,5.31,2.05,"chance",1
701,"optimismo",8.31,0.93,6.38,2.56,6.33,2.08,"optimism",1
702,"ordenado",6.57,1.36,4.19,2.04,6.78,1.75,"tidy",1
703,"ordenador",5.50,1.89,5.06,1.80,5.27,1.99,"computer",1
704,"orgasmo",8.06,1.46,8.16,1.18,5.13,2.46,"orgasm",1
705,"orgullo",5.12,2.34,5.96,1.78,5.40,1.91,"pride",1
706,"orgulloso",5.53,2.36,5.80,1.99,5.82,2.11,"proud",1
707,"orina",2.82,2.02,4.64,2.06,5.29,2.28,"urine",1
708,"oro",6.68,2.15,5.76,1.95,5.04,2.36,"gold",1
709,"orquesta",6.24,1.95,5.26,2.36,4.64,2.09,"orchestra",1
710,"oscuro",3.71,2.13,5.06,2.40,4.04,2.12,"dark",1
711,"otoño",5.17,2.05,4.44,1.99,4.19,2.45,"autumn",1
712,"oxidado",3.11,1.73,3.97,1.87,4.34,2.29,"rusty",1
713,"paciente",4.36,2.29,4.88,2.04,4.78,2.27,"patient",1
714,"padre",7.00,2.27,4.86,2.05,4.94,2.27,"father",1
715,"pájaro",6.43,1.51,4.79,1.78,4.53,1.79,"bird",1
716,"palacio",6.91,1.46,5.03,2.10,5.00,2.13,"palace",1
717,"paloma",6.32,2.16,4.38,2.33,5.04,2.26,"dove",1
718,"pancarta",5.49,1.28,5.17,1.97,5.08,1.78,"banner",1
719,"pánico",1.53,0.93,7.72,1.82,2.43,1.99,"panic",1
720,"pantano",3.97,2.12,4.81,1.95,3.94,1.87,"swamp",1
721,"pañuelo",4.33,1.56,4.17,1.69,5.36,1.92,"kerchief",1
722,"papel",4.98,1.17,3.89,1.93,5.73,2.21,"paper",1
723,"paraguas",4.27,1.73,3.99,1.83,5.23,2.16,"umbrella",1
724,"paraíso",8.24,1.32,5.70,2.89,5.70,2.59,"paradise",1
725,"parálisis",1.33,0.81,5.16,2.73,2.16,2.04,"paralysis",1
726,"pareja",7.91,1.40,7.08,1.76,5.60,2.03,"couple",1
727,"parte",4.66,0.94,4.52,1.36,5.04,1.39,"part",1
728,"pasaje",5.23,1.41,4.92,1.67,4.74,1.87,"passage",1
729,"pasillo",4.37,1.46,4.47,1.82,4.74,2.29,"corridor",1
730,"pasión",7.84,1.35,7.96,1.17,4.96,2.52,"passion",1
731,"pasta",6.22,1.83,4.92,1.74,5.62,1.97,"pasta",1
732,"pastel",7.18,1.47,5.28,1.97,5.69,2.08,"pie",1
733,"patente",4.77,1.26,4.53,1.60,5.04,1.68,"patent",1
734,"patriota",4.91,2.16,5.52,1.72,5.33,2.03,"patriot",1
735,"pausado",5.19,1.74,3.23,2.04,5.33,2.04,"leisurely",1
736,"paz",8.11,1.62,3.49,2.76,5.71,2.52,"peace",1
737,"pecado",3.92,2.12,5.54,2.01,4.92,1.90,"sin",1
738,"pecaminoso",3.66,2.16,5.57,1.79,4.54,2.11,"sinful",1
739,"película",7.14,1.49,5.41,2.34,5.87,2.03,"movie",1
740,"peligro",2.02,1.61,7.56,1.71,2.93,2.03,"danger",1
741,"pellizco",3.17,1.92,5.89,1.76,4.20,1.94,"pinch",1
742,"pena",1.60,1.04,4.80,2.62,3.22,1.91,"grief",1
743,"pene",5.93,1.76,6.54,2.02,5.54,1.91,"penis",1
744,"penoso",2.13,1.64,5.31,2.24,3.88,2.08,"embarrassed",1
745,"pensamiento",5.91,1.91,5.51,1.76,5.56,2.17,"thought",1
746,"perdedor",2.10,1.27,5.33,2.23,3.72,2.09,"loser",1
747,"perdido",2.28,1.44,6.18,2.31,2.73,2.02,"lost",1
748,"perezoso",3.62,1.84,3.37,2.07,4.67,1.95,"lazy",1
749,"perfección",6.58,1.99,5.83,2.11,5.78,2.08,"perfection",1
750,"perfume",7.03,1.73,4.88,2.22,5.59,2.10,"perfume",1
751,"perro",6.50,2.03,5.83,2.15,5.08,2.07,"dog",1
752,"persona",6.89,1.58,5.27,2.21,5.58,2.01,"person",1
753,"perverso",2.59,1.88,6.12,1.56,3.90,1.99,"evil",1
754,"pervertido",1.96,1.52,6.54,1.96,3.42,2.13,"pervert",1
755,"pesadilla",1.80,1.53,7.31,2.03,2.30,1.97,"nightmare",1
756,"pesar",3.04,1.97,5.41,2.19,4.33,2.22,"bereavement",1
757,"pescado",5.70,2.10,4.63,1.78,5.09,2.06,"fish",1
758,"pesimismo",2.06,1.65,4.61,2.25,3.41,2.18,"gloom",1
759,"peste",1.53,1.38,6.20,2.50,3.01,2.24,"pest",1
760,"pezón",6.14,1.61,5.42,2.38,5.27,1.72,"nipple",1
761,"pie",4.67,1.75,4.58,2.00,5.19,2.37,"foot",1
762,"piel",6.19,1.73,4.90,2.21,5.23,2.17,"fur",1
763,"pieza",4.84,1.39,4.12,1.80,5.12,1.70,"item",1
764,"pinchazo",2.18,1.39,6.69,1.91,3.70,2.04,"prick",1
765,"pintura",6.20,1.82,5.20,2.19,5.64,1.87,"paint",1
766,"piojo",1.97,1.20,5.64,2.26,3.64,2.13,"louse",1
767,"piojos",1.90,1.23,6.32,2.10,3.46,2.16,"lice",1
768,"pirotecnia",5.06,2.28,6.48,2.02,3.79,2.15,"fireworks",1
769,"pistola",1.83,1.23,7.08,1.82,3.58,2.69,"pistol",1
770,"pitón",2.93,1.89,6.82,2.03,3.16,2.17,"python",1
771,"pizza",7.07,1.56,5.31,2.15,6.00,1.91,"pizza",1
772,"placer",8.48,1.13,7.57,1.99,5.69,2.58,"pleasure",1
773,"planta",6.46,1.74,3.80,2.12,5.28,2.21,"plant",1
774,"playa",8.07,1.26,5.93,2.67,6.28,2.13,"beach",1
775,"pleito",2.81,1.71,6.07,2.30,3.64,1.69,"lawsuit",1
776,"pobreza",1.54,1.15,5.89,2.19,3.07,2.22,"poverty",1
777,"poder",5.73,1.99,6.09,1.88,5.70,2.48,"power",1
778,"poderoso",5.37,2.39,5.40,2.16,5.53,2.56,"powerful",1
779,"podrido",1.91,1.23,5.16,2.23,4.17,2.16,"rotten",1
780,"poesía",7.23,1.72,5.60,2.32,5.36,2.23,"poetry",1
781,"ponzoña",3.39,1.99,4.37,1.84,4.16,1.98,"poison",1
782,"porquería",1.66,1.06,5.37,2.34,5.30,2.30,"garbage",1
783,"póster",5.49,1.42,4.63,1.53,4.96,1.60,"poster",1
784,"pradera",7.49,1.38,5.03,2.62,5.59,2.21,"prairie",1
785,"precipicio",2.60,1.87,6.91,2.14,3.28,2.19,"cliff",1
786,"predominante",4.70,1.83,5.14,1.82,4.96,1.81,"controlling",1
787,"prenda",5.88,1.67,4.54,1.90,5.43,2.03,"garment",1
788,"presión",2.70,1.79,7.08,1.92,4.07,2.34,"pressure",1
789,"prestigio",7.17,1.61,6.09,2.08,6.44,1.94,"prestige",1
790,"primavera",7.53,1.38,5.99,2.21,4.76,2.46,"spring",1
791,"prisión",1.98,1.30,5.56,2.64,3.56,2.49,"prison",1
792,"privacidad",6.08,2.15,4.88,2.28,6.11,2.22,"privacy",1
793,"problema",1.89,1.17,6.56,1.97,3.81,2.19,"trouble",1
794,"progreso",7.29,1.59,6.43,2.04,5.59,2.17,"progress",1
795,"promoción",5.89,1.76,5.58,1.90,5.29,1.47,"promotion",1
796,"protegido",6.69,1.89,4.01,2.38,6.10,2.42,"protected",1
797,"publicación",5.31,1.74,4.91,1.91,5.06,1.92,"journal",1
798,"pueblo",6.52,1.66,5.21,2.16,5.60,1.72,"village",1
799,"puerta",5.07,1.47,4.36,1.96,5.18,1.97,"door",1
800,"puntapié",3.24,1.76,5.83,1.74,4.49,2.09,"kick",1
801,"pus",1.70,1.15,5.91,2.08,3.83,2.15,"pus",1
802,"puta",3.24,2.13,5.46,2.45,4.11,2.27,"hooker",1
803,"putrefacto",1.64,1.03,5.36,2.23,3.94,2.30,"putrid",1
804,"queja",2.84,1.42,5.67,1.65,4.73,1.83,"gripe",1
805,"quemadura",1.76,1.14,6.83,1.93,3.54,2.32,"burn",1
806,"queroseno",3.19,1.85,5.04,1.88,4.00,2.05,"kerosene",1
807,"rabia",2.33,1.51,7.47,1.83,3.60,2.44,"rabies",1
808,"radiador",5.50,1.81,3.97,1.81,5.39,2.17,"radiator",1
809,"radiante",7.43,1.58,5.94,2.18,5.58,1.99,"radiant",1
810,"radio",6.29,1.74,5.52,2.02,5.87,1.90,"radio",1
811,"ramo",6.42,2.01,5.17,2.18,5.54,2.01,"bouquet",1
812,"rana",4.23,2.10,4.81,1.97,4.80,2.24,"frog",1
813,"rancio",2.41,1.69,4.72,2.05,4.66,2.03,"rancid",1
814,"rápido",5.71,1.57,6.30,2.32,5.26,2.24,"quick",1
815,"rapto",1.67,1.37,7.00,1.97,2.36,1.69,"abduction",1
816,"raro",4.24,1.74,4.99,1.66,4.11,1.52,"odd",1
817,"rascacielos",4.73,2.26,5.94,1.80,4.29,2.14,"skyscraper",1
818,"rata",2.67,1.82,6.32,1.90,3.78,2.03,"rat",1
819,"rebelde",4.56,1.99,6.14,1.76,4.13,2.11,"defiant",1
820,"recado",4.43,1.29,4.83,1.57,4.98,2.01,"errand",1
821,"rechazado",1.94,1.60,5.71,2.35,3.03,2.01,"rejected",1
822,"recogedor",4.22,1.62,4.28,1.71,5.41,2.02,"dustpan",1
823,"recompensa",7.60,1.27,6.36,2.19,5.76,1.97,"reward",1
824,"reconocido",6.11,1.59,5.02,2.06,5.40,1.81,"thankful",1
825,"recuerdos",6.96,1.88,5.69,2.33,5.80,2.55,"memories",1
826,"refrigerio",5.18,2.22,4.68,1.75,5.14,1.70,"refreshment",1
827,"regalo",7.91,1.37,6.63,2.33,5.13,2.34,"present",1
828,"rehén",1.74,1.37,6.39,2.35,2.58,1.95,"hostage",1
829,"reina",4.91,2.23,4.74,2.04,4.66,2.07,"queen",1
830,"relajado",7.53,1.90,2.86,2.36,6.19,2.28,"relaxed",1
831,"relámpago",3.98,2.17,6.57,2.03,2.86,2.34,"lightning",1
832,"reloj",4.96,2.02,4.72,2.01,5.29,2.37,"clock",1
833,"repisa",4.73,1.10,4.24,1.81,5.03,1.89,"mantel",1
834,"reptil",3.41,2.10,6.08,2.28,3.56,2.08,"reptile",1
835,"repugnante",1.78,1.63,5.82,2.19,3.73,2.21,"obnoxious",1
836,"rescate",7.27,1.97,7.00,1.98,4.71,2.23,"rescue",1
837,"resentirse",2.29,1.31,5.86,1.58,3.58,1.91,"resent",1
838,"reservado",4.50,1.93,3.91,1.94,5.04,2.05,"reserved",1
839,"respeto",7.27,1.51,4.74,2.48,6.10,2.29,"respect",1
840,"respetuoso",7.63,1.35,4.21,2.19,6.76,1.68,"respectful",1
841,"respuesta",5.79,1.61,5.52,1.99,5.64,2.00,"answer",1
842,"restaurante",6.72,1.38,5.71,1.89,5.87,1.72,"restaurant",1
843,"retrasado",2.84,1.84,5.11,2.17,3.28,1.97,"delayed",1
844,"reunión",5.62,2.16,5.90,1.74,5.20,1.94,"reunion",1
845,"revólver",2.13,1.61,7.01,1.91,3.69,2.43,"revolver",1
846,"revuelta",3.23,1.86,6.64,1.66,3.16,1.90,"revolt",1
847,"rey",4.98,1.85,4.36,1.92,4.34,2.20,"king",1
848,"rifle",1.92,1.29,6.26,2.45,3.24,2.16,"rifle",1
849,"rígido",3.39,1.80,4.89,2.07,4.51,2.17,"rigid",1
850,"riña",2.16,1.31,6.99,1.91,4.13,2.56,"quarrel",1
851,"río",7.03,1.49,4.62,2.32,4.58,2.37,"river",1
852,"riqueza",7.04,1.72,5.81,2.04,5.42,2.42,"riches",1
853,"risa",8.34,0.93,7.10,2.30,6.14,2.34,"laughter",1
854,"roca",4.92,1.37,3.90,1.93,5.28,2.09,"rock",1
855,"rojo",5.93,1.59,5.93,1.90,5.48,1.72,"red",1
856,"romántico",7.99,1.18,7.07,1.98,5.72,2.29,"romantic",1
857,"roña",1.94,1.28,5.38,2.10,5.39,2.52,"filth",1
858,"ropa",6.69,1.70,5.63,2.12,5.78,1.85,"clothing",1
859,"roto",3.02,1.51,5.46,1.64,3.93,1.86,"broken",1
860,"rubio",5.28,1.43,4.96,1.77,4.78,1.79,"blond",1
861,"ruidoso",2.63,1.38,6.93,1.92,3.62,1.95,"noisy",1
862,"sabio",7.14,1.47,5.17,2.17,5.67,2.18,"wise",1
863,"sabor",6.88,1.56,5.39,2.18,5.33,2.25,"taste",1
864,"salud",7.74,1.60,5.31,2.52,5.39,2.52,"health",1
865,"saludar",6.61,1.50,5.12,2.06,6.04,2.02,"greet",1
866,"saludo",6.86,1.55,5.60,2.01,6.42,1.91,"salute",1
867,"salvador",6.89,1.75,5.51,2.17,5.34,2.24,"savior",1
868,"sangriento",1.42,0.70,6.79,2.33,3.16,1.87,"bloody",1
869,"santo",4.87,2.01,3.56,1.91,4.19,2.14,"saint",1
870,"sarampión",1.84,1.20,4.96,2.38,2.72,2.01,"measles",1
871,"satisfecho",7.88,1.51,5.31,2.66,6.59,1.84,"satisfied",1
872,"secador",5.01,1.47,4.42,1.65,5.23,1.90,"hairdryer",1
873,"seda",6.73,1.72,4.00,2.09,5.40,1.94,"silk",1
874,"seguro",7.48,2.00,4.34,2.58,6.90,2.21,"safe",1
875,"seno",5.81,1.63,4.80,2.07,5.17,1.84,"breast",1
876,"sentimiento",7.36,1.70,6.79,2.10,4.33,2.33,"sentiment",1
877,"serio",3.80,1.84,4.04,1.77,4.73,1.88,"serious",1
878,"serpiente",3.07,1.95,6.74,2.05,3.54,2.08,"snake",1
879,"sexo",7.76,1.17,7.59,1.55,5.87,2.30,"sex",1
880,"sexy",7.33,1.68,7.07,1.61,5.80,1.88,"sexy",1
881,"sífilis",1.60,1.23,5.21,2.23,3.02,2.06,"syphilis",1
882,"silbato",4.21,1.50,5.81,2.01,4.84,1.70,"whistle",1
883,"silla",5.03,1.15,3.48,1.95,5.57,2.02,"chair",1
884,"simpático",7.94,1.42,6.62,2.10,6.38,1.67,"nice",1
885,"snob",3.14,1.85,5.12,1.80,4.81,2.12,"snob",1
886,"sociable",7.56,1.80,6.06,2.12,6.01,2.02,"social",1
887,"soga",2.01,1.52,5.83,2.37,3.22,2.18,"noose",1
888,"sol",7.90,1.31,5.69,2.73,5.41,2.66,"sun",1
889,"soleado",8.14,1.15,6.39,2.49,5.42,2.75,"sunlight",1
890,"soledad",2.50,1.78,4.67,2.62,3.78,2.22,"loneliness",1
891,"solemne",4.58,1.90,4.31,1.99,4.76,2.24,"solemn",1
892,"solitario",2.68,1.83,4.40,2.32,4.23,2.23,"lonely",1
893,"solo",2.76,1.74,3.61,2.33,4.58,2.58,"alone",1
894,"sombra",4.03,1.57,4.57,2.20,4.23,1.81,"shadow",1
895,"sombrero",4.87,1.36,4.11,1.83,5.46,2.03,"hat",1
896,"sonajero",6.06,1.79,4.96,2.04,5.74,2.37,"rattle",1
897,"sorprendido",6.29,1.96,6.87,1.89,3.76,2.37,"surprised",1
898,"soso",2.49,1.33,3.99,2.07,5.07,2.20,"bland",1
899,"sospechoso",3.07,1.45,6.46,1.47,3.71,1.96,"suspicious",1
900,"spray",4.17,1.82,4.78,1.75,5.10,2.06,"spray",1
901,"suave",7.04,1.44,4.29,2.38,5.32,2.16,"soft",1
902,"suburbio",2.50,1.48,5.32,2.26,3.18,1.85,"slum",1
903,"suciedad",1.98,1.12,5.61,2.06,5.48,2.30,"dirt",1
904,"sucio",1.91,1.06,5.62,1.99,5.50,2.27,"dirty",1
905,"sueño",6.60,2.10,3.63,2.44,4.10,2.45,"dream",1
906,"suicidio",1.24,0.62,6.80,2.44,4.01,2.93,"suicide",1
907,"sustento",5.49,1.75,4.98,1.87,5.01,1.78,"alimony",1
908,"tabaco",3.18,2.42,5.06,2.59,4.57,2.69,"tobacco",1
909,"tablero",4.80,1.46,4.71,1.75,5.21,2.03,"board",1
910,"taburete",4.79,1.50,3.59,1.89,5.44,2.38,"stool",1
911,"talento",7.44,1.84,5.84,2.18,5.83,2.28,"talent",1
912,"tanque",2.39,1.90,6.04,2.08,3.03,1.99,"tank",1
913,"tarta",7.26,1.58,5.26,2.15,5.53,1.90,"cake",1
914,"taxi",4.64,1.47,4.71,1.96,4.86,1.95,"taxi",1
915,"tela",5.11,1.13,4.24,1.55,5.58,1.77,"fabric",1
916,"temeroso",2.67,1.51,6.22,2.19,3.30,2.00,"fearful",1
917,"temor",1.96,1.09,6.90,1.74,2.77,1.77,"fear",1
918,"temperamental",4.27,1.85,6.14,2.01,4.24,2.17,"moody",1
919,"tenedor",4.80,1.51,4.43,1.74,5.56,2.02,"fork",1
920,"tenis",5.81,1.70,5.37,2.10,5.41,1.87,"tennis",1
921,"tenso",2.73,1.72,7.12,1.72,3.57,2.02,"tense",1
922,"teoría",4.59,1.87,4.67,1.91,4.81,1.96,"theory",1
923,"termita",3.40,1.67,5.04,1.95,4.74,1.89,"termite",1
924,"termómetro",4.28,1.70,4.49,1.66,4.87,1.83,"thermometer",1
925,"terrible",1.49,0.89,6.87,2.18,2.91,2.20,"terrible",1
926,"terrorista",1.51,1.21,7.33,2.14,2.28,2.13,"terrorist",1
927,"tesoro",7.27,1.68,6.39,1.88,5.37,2.07,"treasure",1
928,"tiburón",3.07,1.98,7.38,1.99,3.46,2.57,"shark",1
929,"tiempo",5.27,2.22,5.51,2.02,3.54,2.25,"time",1
930,"tierno",7.91,1.26,4.47,2.61,5.81,2.22,"tender",1
931,"tierra",5.63,1.81,4.64,1.91,4.93,1.92,"earth",1
932,"tieso",3.68,1.81,4.38,2.11,4.33,2.03,"stiff",1
933,"tijeras",4.18,1.45,5.00,1.60,5.01,2.10,"scissors",1
934,"tímido",4.17,1.79,4.24,2.28,4.07,2.23,"timid",1
935,"tinta",4.62,1.64,4.69,1.77,5.28,1.88,"ink",1
936,"tobillo",4.60,1.44,4.33,1.67,5.16,1.85,"ankle",1
937,"tobogán",6.54,1.76,6.42,1.93,5.40,2.12,"rollercoaster",1
938,"tolerante",7.66,1.34,4.72,2.09,6.20,2.05,"easygoing",1
939,"tonada",5.00,1.33,4.72,1.27,4.70,1.46,"tune",1
940,"tontería",4.19,2.05,5.36,1.91,5.12,1.86,"nonsense",1
941,"tonto",3.30,1.65,4.57,1.78,4.51,1.87,"silly",1
942,"tormenta",4.14,2.36,6.10,2.19,2.94,1.97,"storm",1
943,"tornado",2.24,1.62,6.94,2.29,2.17,1.68,"tornado",1
944,"torpe",3.09,1.38,5.26,1.80,3.98,1.93,"clumsy",1
945,"torre",5.16,1.75,4.54,1.89,4.52,2.00,"tower",1
946,"tortura",1.24,0.83,7.47,2.04,2.44,2.16,"torture",1
947,"tóxico",1.77,1.17,6.21,2.29,3.29,2.35,"toxic",1
948,"tragedia",1.64,1.15,7.24,1.94,2.52,1.70,"tragedy",1
949,"traicionar",1.58,0.95,6.57,2.34,3.96,2.51,"betray",1
950,"traidor",1.53,0.91,6.83,2.05,3.53,2.45,"traitor",1
951,"trampolín",5.69,1.69,5.90,1.99,5.43,1.99,"skijump",1
952,"tranquilo",6.86,1.91,2.36,2.04,5.61,2.72,"untroubled",1
953,"trauma",1.66,1.14,5.86,2.37,3.13,2.35,"trauma",1
954,"travesía",5.44,1.99,5.04,1.86,5.17,1.86,"voyage",1
955,"travesura",6.03,1.74,6.82,1.64,5.52,2.08,"mischief",1
956,"triste",2.00,1.79,4.33,2.52,3.59,2.19,"sad",1
957,"triunfante",7.51,1.81,6.72,1.93,5.59,2.19,"triumphant",1
958,"triunfo",7.89,1.56,7.03,2.05,5.96,2.26,"triumph",1
959,"trofeo",7.30,1.94,6.89,2.04,6.26,1.98,"trophy",1
960,"trompeta",5.19,1.79,5.70,2.06,4.81,2.19,"trumpet",1
961,"tumba",1.74,1.50,4.90,2.69,3.06,2.36,"tomb",1
962,"tumor",1.34,1.14,6.77,2.58,1.98,1.54,"tumor",1
963,"turbio",2.81,1.70,4.99,2.03,3.72,1.82,"muddy",1
964,"úlcera",1.70,1.25,5.71,2.16,2.51,1.96,"ulcer",1
965,"unidad",5.50,2.06,4.43,2.25,5.34,2.12,"unit",1
966,"utensilio",4.78,1.50,4.44,1.88,5.50,2.05,"utensil",1
967,"útil",7.24,1.71,5.96,2.14,6.20,2.06,"useful",1
968,"vaca",5.41,1.44,4.57,1.74,4.60,1.73,"cow",1
969,"vacación",8.52,0.90,6.18,2.94,6.37,2.34,"holiday",1
970,"vacilar",3.83,2.22,6.37,1.63,4.94,2.50,"tease",1
971,"vagina",5.00,1.87,4.82,2.22,5.02,2.13,"vagina",1
972,"valiente",7.49,1.36,6.46,2.01,6.37,1.97,"brave",1
973,"vampiro",3.49,2.26,6.26,1.91,3.82,2.35,"vampire",1
974,"vándalo",2.49,1.60,6.29,1.83,3.49,1.99,"vandal",1
975,"vanidad",2.83,2.13,5.49,1.92,4.41,2.12,"vanity",1
976,"vehículo",6.33,1.61,5.78,1.80,5.09,2.03,"vehicle",1
977,"velero",6.41,1.76,4.88,2.41,4.93,2.08,"sailboat",1
978,"veloz",5.99,1.53,6.72,1.74,5.22,1.95,"swift",1
979,"vencedor",7.39,1.37,6.77,1.72,5.66,2.04,"champion",1
980,"vencido",2.20,1.21,5.06,2.52,3.56,2.25,"defeated",1
981,"venda",4.14,1.76,4.72,1.73,4.84,1.98,"bandage",1
982,"veneno",1.67,1.17,6.93,2.12,3.62,2.58,"venom",1
983,"ventaja",6.90,1.51,5.60,2.03,5.36,1.84,"advantage",1
984,"ventana",5.88,1.75,4.88,1.84,5.58,1.78,"window",1
985,"verdad",7.78,1.78,5.72,2.47,6.36,2.13,"truth",1
986,"verde",6.43,1.75,4.72,2.18,5.48,2.46,"green",1
987,"vergonzoso",3.14,1.70,6.13,1.84,3.22,1.76,"shy",1
988,"vertedero",2.20,1.57,4.81,2.26,3.84,2.03,"dump",1
989,"vestido",6.32,1.35,5.32,1.84,6.16,1.84,"dress",1
990,"viajes",7.84,1.72,7.39,1.74,5.99,2.14,"travel",1
991,"víctima",1.74,1.36,6.37,2.02,2.74,1.80,"victim",1
992,"victimismo",2.48,1.62,5.90,2.01,4.16,2.27,"scapegoat",1
993,"victoria",7.93,1.37,7.19,2.09,6.47,2.22,"victory",1
994,"vida",8.07,1.54,6.59,2.27,5.32,2.27,"life",1
995,"vidrio",4.64,1.40,4.58,1.82,5.17,1.58,"glass",1
996,"vigilante",4.83,1.87,5.09,1.78,4.79,2.03,"watch",1
997,"vigoroso",5.99,1.58,5.62,1.65,5.54,1.56,"mighty",1
998,"vino",4.88,2.00,5.47,1.76,5.14,2.09,"wine",1
999,"violación",1.11,0.48,7.98,1.51,2.13,1.84,"rape",1
1000,"violento",1.69,1.00,7.06,1.74,3.58,2.31,"violent",1
1001,"violín",6.14,1.92,4.10,2.13,5.07,1.99,"violin",1
1002,"virgen",4.66,2.03,4.23,2.03,5.01,2.03,"virgin",1
1003,"virtud",7.27,1.38,5.10,2.17,5.47,2.09,"virtue",1
1004,"viruela",1.77,1.15,5.04,2.32,2.98,2.22,"smallpox",1
1005,"visión",6.82,1.95,5.28,2.00,5.21,2.31,"vision",1
1006,"vivo",8.07,1.31,6.54,2.13,6.53,2.19,"alive",1
1007,"volcán",3.52,2.02,6.63,2.07,2.58,2.26,"volcano",1
1008,"vómito",1.76,1.16,5.80,2.54,3.12,2.15,"vomit",1
1009,"yate",6.57,1.81,5.19,2.23,5.49,1.92,"yacht",1
1010,"zafiro",6.71,1.83,5.21,2.12,5.12,1.87,"sapphire",1
1011,"zurra",1.96,1.54,6.63,2.04,3.97,2.40,"spanking",1
1012,"acurrucarse",6.98,2.09,4.28,2.43,6.01,2.06,"snuggle",2
1013,"ahogarse",1.32,0.93,7.61,1.92,2.41,2.12,"drown",2
1014,"asfixiarse",1.48,1.07,7.80,1.68,2.33,1.88,"suffocate",2
1015,"decepcionar",1.57,1.25,6.01,2.48,3.64,2.51,"disappoint",2
1016,"despedazar",2.52,1.66,6.29,2.03,4.16,2.20,"mangle",2
1017,"desvestido",5.12,2.53,6.02,2.14,4.90,2.30,"naked",2
1018,"detestar",2.18,1.61,5.77,2.15,4.13,2.06,"detest",2
1019,"estremecerse",3.67,2.44,6.17,2.27,3.27,1.95,"thrill",2
1020,"fascinar",7.42,1.50,6.84,1.74,5.89,1.60,"fascinate",2
1021,"florecer",7.49,1.42,5.38,2.21,4.81,2.29,"blossom",2
1022,"irritar",1.93,1.14,6.34,2.25,4.14,1.99,"irritate",2
1023,"mutilar",1.36,0.94,7.01,2.28,2.93,2.17,"mutilate",2
1024,"sobrecogido",3.00,1.85,5.67,2.36,3.73,1.87,"awed",2
1025,"sobresaltado",4.01,1.87,7.59,1.70,3.27,2.01,"startled",2
1026,"adinerado",6.21,1.71,5.58,1.92,5.69,2.14,"wealthy",3
1027,"coqueto",5.79,1.69,5.13,1.77,5.30,1.84,"flirt",3
1028,"desenfadado",6.26,1.58,5.44,1.93,5.28,2.12,"nonchalant",3
1029,"lánguido",3.00,1.77,3.49,1.81,4.00,1.94,"listless",3
1030,"lóbrego",3.39,2.06,5.26,1.86,4.16,1.75,"dreary",3
1031,"pesaroso",2.86,1.76,4.24,1.94,4.00,1.77,"regretful",3
1032,"reverente",4.59,1.73,4.60,1.84,4.74,1.76,"reverent",3
1033,"tenue",5.23,1.99,3.79,1.95,5.20,2.09,"subdued",3
1034,"vívido",5.70,1.86,5.93,1.85,5.13,1.90,"lively",3
